ID,Дата проведения матча,Команда Силы Света,Команда Силы Тьмы,Победитель,Победившая сторона
12176,2022-07-16,Parivision,Tundra Esports,Parivision,Силы света
12177,2022-01-18,Team Liquid,Heroic,Heroic,Силы тьмы
12178,2023-07-14,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
12179,2023-08-24,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
12180,2020-01-23,Tundra Esports,Azure Ray,Azure Ray,Силы тьмы
12181,2020-05-25,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
12182,2023-03-27,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
12183,2020-09-04,BetBoom Team,Parivision,Parivision,Силы тьмы
12184,2020-04-20,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12185,2021-07-09,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
12186,2021-08-14,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12187,2022-02-13,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
12188,2023-05-22,Azure Ray,Heroic,Azure Ray,Силы света
12189,2021-03-21,Heroic,Parivision,Parivision,Силы тьмы
12190,2023-04-25,Heroic,Azure Ray,Heroic,Силы света
12191,2022-08-21,Heroic,Shopify Rebellion,Heroic,Силы света
12192,2022-12-05,Heroic,Xtreme Gaming,Heroic,Силы света
12193,2023-06-11,Heroic,BetBoom Team,Heroic,Силы света
12194,2022-03-23,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
12195,2022-12-01,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12196,2023-01-28,Team Spirit,BetBoom Team,Team Spirit,Силы света
12197,2021-08-14,Gaimin Gladiators,Team Spirit,Gaimin Gladiators,Силы света
12198,2023-10-14,Gaimin Gladiators,Xtreme Gaming,Gaimin Gladiators,Силы света
12199,2021-10-11,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12200,2021-10-11,Azure Ray,Parivision,Parivision,Силы тьмы
12201,2021-12-02,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
12202,2021-07-03,Heroic,Team Liquid,Heroic,Силы света
12203,2020-03-19,Azure Ray,Team Spirit,Azure Ray,Силы света
12204,2021-01-21,Team Liquid,Parivision,Parivision,Силы тьмы
12205,2022-09-24,Gaimin Gladiators,Heroic,Heroic,Силы тьмы
12206,2022-09-21,Team Spirit,Parivision,Team Spirit,Силы света
12207,2022-05-03,Xtreme Gaming,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12208,2021-04-21,Heroic,Azure Ray,Heroic,Силы света
12209,2021-10-22,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
12210,2022-04-02,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12211,2021-11-20,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
12212,2022-04-21,Team Spirit,Tundra Esports,Team Spirit,Силы света
12213,2020-01-06,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
12214,2021-01-09,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
12215,2022-04-03,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
12216,2020-01-30,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
12217,2020-01-09,Heroic,Tundra Esports,Heroic,Силы света
12218,2023-09-09,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12219,2023-07-08,Tundra Esports,Parivision,Parivision,Силы тьмы
12220,2022-04-09,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
12221,2022-04-26,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
12222,2021-07-04,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
12223,2023-09-25,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
12224,2023-06-20,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
12225,2020-08-04,Xtreme Gaming,Tundra Esports,Xtreme Gaming,Силы света
12226,2021-11-03,Tundra Esports,Parivision,Tundra Esports,Силы света
12227,2022-07-12,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12228,2020-04-04,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
12229,2022-10-15,Team Liquid,Heroic,Team Liquid,Силы света
12230,2022-03-12,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12231,2020-07-11,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12232,2023-07-28,Heroic,Team Liquid,Team Liquid,Силы тьмы
12233,2020-02-27,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12234,2020-05-04,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
12235,2023-10-11,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
12236,2022-11-29,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
12237,2021-11-13,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
12238,2020-05-15,Tundra Esports,Gaimin Gladiators,Tundra Esports,Силы света
12239,2022-10-13,Parivision,Team Spirit,Parivision,Силы света
12240,2021-03-09,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
12241,2021-01-02,Heroic,Team Spirit,Heroic,Силы света
12242,2022-12-27,Parivision,Azure Ray,Parivision,Силы света
12243,2022-01-15,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
12244,2020-12-04,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
12245,2021-06-19,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12246,2020-10-27,Gaimin Gladiators,Parivision,Gaimin Gladiators,Силы света
12247,2022-12-24,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
12248,2021-05-25,Team Spirit,BetBoom Team,Team Spirit,Силы света
12249,2020-09-12,BetBoom Team,Team Liquid,BetBoom Team,Силы света
12250,2023-12-24,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12251,2022-09-25,BetBoom Team,Team Liquid,BetBoom Team,Силы света
12252,2022-07-01,Team Spirit,BetBoom Team,Team Spirit,Силы света
12253,2022-07-26,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12254,2021-07-28,Parivision,Gaimin Gladiators,Parivision,Силы света
12255,2023-07-26,Parivision,Team Liquid,Parivision,Силы света
12256,2021-02-19,Parivision,BetBoom Team,Parivision,Силы света
12257,2022-08-23,Heroic,Team Liquid,Team Liquid,Силы тьмы
12258,2020-12-19,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
12259,2020-12-04,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
12260,2020-01-02,Azure Ray,Parivision,Parivision,Силы тьмы
12261,2023-11-21,BetBoom Team,Parivision,Parivision,Силы тьмы
12262,2022-09-08,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
12263,2022-03-25,Team Spirit,BetBoom Team,Team Spirit,Силы света
12264,2023-02-04,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
12265,2020-05-31,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
12266,2020-11-19,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
12267,2021-01-11,Shopify Rebellion,Heroic,Heroic,Силы тьмы
12268,2020-04-28,Team Spirit,Team Liquid,Team Liquid,Силы тьмы
12269,2020-10-16,Xtreme Gaming,Azure Ray,Azure Ray,Силы тьмы
12270,2023-01-28,Tundra Esports,Parivision,Parivision,Силы тьмы
12271,2021-06-21,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12272,2021-06-26,Team Spirit,Azure Ray,Team Spirit,Силы света
12273,2020-09-23,Heroic,Team Spirit,Heroic,Силы света
12274,2020-08-07,Parivision,Tundra Esports,Tundra Esports,Силы тьмы
12275,2023-12-03,Azure Ray,Shopify Rebellion,Azure Ray,Силы света
12276,2022-08-14,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
12277,2022-07-05,Heroic,Azure Ray,Azure Ray,Силы тьмы
12278,2023-10-27,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
12279,2021-02-19,BetBoom Team,Azure Ray,BetBoom Team,Силы света
12280,2023-11-13,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
12281,2020-12-24,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
12282,2020-10-15,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12283,2021-01-20,Azure Ray,Heroic,Azure Ray,Силы света
12284,2021-08-15,Gaimin Gladiators,BetBoom Team,Gaimin Gladiators,Силы света
12285,2023-03-21,Parivision,Shopify Rebellion,Parivision,Силы света
12286,2020-02-09,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
12287,2020-06-22,Azure Ray,Heroic,Azure Ray,Силы света
12288,2020-09-29,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
12289,2022-08-04,Shopify Rebellion,Heroic,Heroic,Силы тьмы
12290,2021-01-14,Shopify Rebellion,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12291,2020-08-19,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
12292,2020-12-02,Team Spirit,Parivision,Parivision,Силы тьмы
12293,2021-02-20,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
12294,2022-09-15,Team Spirit,Heroic,Team Spirit,Силы света
12295,2023-07-26,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
12296,2021-04-27,Shopify Rebellion,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12297,2023-04-11,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
12298,2020-01-29,Heroic,Xtreme Gaming,Heroic,Силы света
12299,2021-02-14,Heroic,BetBoom Team,Heroic,Силы света
12300,2023-03-27,Gaimin Gladiators,Tundra Esports,Gaimin Gladiators,Силы света
12301,2021-03-04,Shopify Rebellion,Team Liquid,Shopify Rebellion,Силы света
12302,2022-07-10,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
12303,2022-10-11,Team Spirit,Parivision,Team Spirit,Силы света
12304,2020-03-01,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
12305,2023-11-01,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12306,2022-09-18,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12307,2022-09-30,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12308,2023-08-14,Azure Ray,Parivision,Azure Ray,Силы света
12309,2021-08-30,Team Liquid,Team Spirit,Team Liquid,Силы света
12310,2023-05-16,Team Spirit,BetBoom Team,Team Spirit,Силы света
12311,2022-12-31,Xtreme Gaming,Parivision,Parivision,Силы тьмы
12312,2022-06-04,Azure Ray,Team Spirit,Azure Ray,Силы света
12313,2021-12-29,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
12314,2021-02-20,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12315,2020-09-15,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12316,2023-07-19,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12317,2021-02-01,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
12318,2022-04-16,Team Spirit,Parivision,Team Spirit,Силы света
12319,2021-02-28,Tundra Esports,Parivision,Tundra Esports,Силы света
12320,2023-01-19,Shopify Rebellion,Heroic,Shopify Rebellion,Силы света
12321,2021-07-21,Gaimin Gladiators,BetBoom Team,BetBoom Team,Силы тьмы
12322,2020-12-05,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
12323,2021-08-26,BetBoom Team,Tundra Esports,Tundra Esports,Силы тьмы
12324,2021-12-17,Parivision,Heroic,Heroic,Силы тьмы
12325,2022-02-10,Heroic,Team Liquid,Heroic,Силы света
12326,2022-10-12,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12327,2020-12-02,Tundra Esports,Team Spirit,Tundra Esports,Силы света
12328,2021-02-09,Shopify Rebellion,Gaimin Gladiators,Shopify Rebellion,Силы света
12329,2020-04-04,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
12330,2023-04-21,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12331,2022-07-15,Team Spirit,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12332,2021-02-13,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12333,2023-10-28,Team Liquid,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12334,2023-10-08,Xtreme Gaming,Parivision,Parivision,Силы тьмы
12335,2021-07-04,Gaimin Gladiators,Shopify Rebellion,Gaimin Gladiators,Силы света
12336,2022-02-07,Tundra Esports,Parivision,Parivision,Силы тьмы
12337,2020-04-24,Azure Ray,Team Spirit,Azure Ray,Силы света
12338,2023-01-22,Team Liquid,Heroic,Team Liquid,Силы света
12339,2022-09-04,Team Liquid,Shopify Rebellion,Team Liquid,Силы света
12340,2022-01-08,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
12341,2022-02-01,BetBoom Team,Heroic,Heroic,Силы тьмы
12342,2022-12-12,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
12343,2023-09-17,BetBoom Team,Parivision,Parivision,Силы тьмы
12344,2020-01-22,Gaimin Gladiators,Team Spirit,Team Spirit,Силы тьмы
12345,2020-03-02,Team Liquid,BetBoom Team,Team Liquid,Силы света
12346,2021-09-26,Heroic,Tundra Esports,Tundra Esports,Силы тьмы
12347,2022-11-27,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
12348,2021-08-04,BetBoom Team,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12349,2023-08-12,Azure Ray,BetBoom Team,BetBoom Team,Силы тьмы
12350,2023-09-10,Heroic,Team Liquid,Heroic,Силы света
12351,2023-06-22,Heroic,Team Liquid,Team Liquid,Силы тьмы
12352,2022-03-23,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12353,2020-01-03,Team Liquid,Heroic,Team Liquid,Силы света
12354,2023-09-10,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
12355,2020-01-15,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
12356,2020-06-26,Heroic,Team Spirit,Team Spirit,Силы тьмы
12357,2020-05-16,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
12358,2020-02-18,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
12359,2021-12-06,Team Spirit,BetBoom Team,Team Spirit,Силы света
12360,2021-04-07,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12361,2023-12-11,Azure Ray,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12362,2023-09-05,Team Spirit,Heroic,Heroic,Силы тьмы
12363,2023-12-29,Parivision,Team Spirit,Parivision,Силы света
12364,2022-04-25,Parivision,Azure Ray,Azure Ray,Силы тьмы
12365,2023-12-02,Team Spirit,BetBoom Team,Team Spirit,Силы света
12366,2020-01-19,Team Spirit,Azure Ray,Team Spirit,Силы света
12367,2022-01-06,BetBoom Team,Team Spirit,BetBoom Team,Силы света
12368,2021-05-13,Parivision,Gaimin Gladiators,Parivision,Силы света
12369,2022-01-25,Azure Ray,Tundra Esports,Azure Ray,Силы света
12370,2023-07-12,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
12371,2022-09-04,Tundra Esports,Parivision,Tundra Esports,Силы света
12372,2022-12-11,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12373,2021-01-14,Team Liquid,Parivision,Team Liquid,Силы света
12374,2020-02-29,Team Spirit,Azure Ray,Team Spirit,Силы света
12375,2020-12-06,Tundra Esports,Parivision,Parivision,Силы тьмы
12376,2020-05-24,Azure Ray,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12377,2023-01-20,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12378,2023-09-17,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
12379,2023-11-24,Parivision,Heroic,Heroic,Силы тьмы
12380,2022-03-28,Team Spirit,Gaimin Gladiators,Team Spirit,Силы света
12381,2020-11-25,Heroic,Azure Ray,Heroic,Силы света
12382,2020-11-01,Azure Ray,Xtreme Gaming,Azure Ray,Силы света
12383,2023-04-17,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12384,2020-04-24,Parivision,BetBoom Team,BetBoom Team,Силы тьмы
12385,2023-02-21,Shopify Rebellion,BetBoom Team,Shopify Rebellion,Силы света
12386,2023-02-06,Tundra Esports,Team Spirit,Tundra Esports,Силы света
12387,2020-08-02,Team Liquid,Parivision,Team Liquid,Силы света
12388,2023-04-08,Azure Ray,BetBoom Team,Azure Ray,Силы света
12389,2023-03-22,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
12390,2020-08-08,Xtreme Gaming,Tundra Esports,Tundra Esports,Силы тьмы
12391,2021-03-12,Tundra Esports,Team Liquid,Team Liquid,Силы тьмы
12392,2022-12-14,Team Liquid,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12393,2023-11-18,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
12394,2022-03-04,Parivision,Azure Ray,Azure Ray,Силы тьмы
12395,2022-10-20,Shopify Rebellion,Heroic,Heroic,Силы тьмы
12396,2022-04-26,Shopify Rebellion,Azure Ray,Shopify Rebellion,Силы света
12397,2021-07-29,BetBoom Team,Team Liquid,Team Liquid,Силы тьмы
12398,2023-11-13,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
12399,2022-11-14,Team Liquid,Azure Ray,Azure Ray,Силы тьмы
12400,2023-09-20,Team Spirit,Parivision,Team Spirit,Силы света
12401,2021-01-27,Azure Ray,Parivision,Azure Ray,Силы света
12402,2020-06-12,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
12403,2021-06-19,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
12404,2023-04-09,Heroic,Shopify Rebellion,Heroic,Силы света
12405,2022-03-07,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12406,2021-06-09,Team Spirit,Tundra Esports,Tundra Esports,Силы тьмы
12407,2020-01-18,Shopify Rebellion,Azure Ray,Azure Ray,Силы тьмы
12408,2022-11-14,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12409,2020-01-28,Team Liquid,Parivision,Team Liquid,Силы света
12410,2023-12-13,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
12411,2021-10-24,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12412,2022-06-18,Team Spirit,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12413,2022-07-10,Shopify Rebellion,Xtreme Gaming,Shopify Rebellion,Силы света
12414,2021-10-17,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
12415,2021-06-06,Heroic,Parivision,Parivision,Силы тьмы
12416,2021-10-31,Gaimin Gladiators,Tundra Esports,Tundra Esports,Силы тьмы
12417,2023-03-09,Parivision,Azure Ray,Azure Ray,Силы тьмы
12418,2023-04-22,Parivision,Azure Ray,Parivision,Силы света
12419,2023-10-16,Team Spirit,BetBoom Team,BetBoom Team,Силы тьмы
12420,2020-05-02,Team Spirit,BetBoom Team,Team Spirit,Силы света
12421,2021-01-27,BetBoom Team,Azure Ray,BetBoom Team,Силы света
12422,2020-05-06,Parivision,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12423,2020-05-25,Shopify Rebellion,Tundra Esports,Shopify Rebellion,Силы света
12424,2021-06-25,Tundra Esports,Shopify Rebellion,Tundra Esports,Силы света
12425,2023-02-15,Xtreme Gaming,BetBoom Team,BetBoom Team,Силы тьмы
12426,2021-10-21,Gaimin Gladiators,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12427,2023-07-22,Heroic,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12428,2020-03-06,Parivision,Heroic,Parivision,Силы света
12429,2020-11-30,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
12430,2021-05-30,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
12431,2023-11-20,Parivision,Team Spirit,Team Spirit,Силы тьмы
12432,2020-07-11,Shopify Rebellion,Parivision,Parivision,Силы тьмы
12433,2020-05-19,Heroic,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12434,2023-01-25,Team Liquid,BetBoom Team,Team Liquid,Силы света
12435,2022-12-06,Team Liquid,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12436,2022-06-22,Shopify Rebellion,BetBoom Team,BetBoom Team,Силы тьмы
12437,2020-06-25,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
12438,2023-04-21,Parivision,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12439,2022-07-27,Shopify Rebellion,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12440,2022-06-22,Tundra Esports,Heroic,Tundra Esports,Силы света
12441,2021-08-27,Team Spirit,Tundra Esports,Team Spirit,Силы света
12442,2023-05-16,Team Spirit,Parivision,Parivision,Силы тьмы
12443,2020-03-06,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
12444,2022-04-04,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
12445,2020-06-19,Gaimin Gladiators,BetBoom Team,BetBoom Team,Силы тьмы
12446,2023-06-14,Xtreme Gaming,Parivision,Xtreme Gaming,Силы света
12447,2023-11-01,BetBoom Team,Tundra Esports,BetBoom Team,Силы света
12448,2023-10-14,Parivision,Xtreme Gaming,Parivision,Силы света
12449,2022-04-26,Team Spirit,Xtreme Gaming,Team Spirit,Силы света
12450,2020-05-10,Azure Ray,Team Spirit,Azure Ray,Силы света
12451,2022-06-08,Tundra Esports,Team Spirit,Tundra Esports,Силы света
12452,2020-01-20,Tundra Esports,Shopify Rebellion,Shopify Rebellion,Силы тьмы
12453,2021-03-25,Team Liquid,Team Spirit,Team Liquid,Силы света
12454,2020-10-29,Team Spirit,Team Liquid,Team Spirit,Силы света
12455,2020-03-08,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
12456,2021-10-07,Shopify Rebellion,Heroic,Shopify Rebellion,Силы света
12457,2023-03-05,BetBoom Team,Xtreme Gaming,BetBoom Team,Силы света
12458,2020-09-01,Tundra Esports,Heroic,Tundra Esports,Силы света
12459,2022-11-14,Team Spirit,Azure Ray,Azure Ray,Силы тьмы
12460,2021-06-24,Parivision,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12461,2022-09-18,Tundra Esports,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12462,2020-08-13,Gaimin Gladiators,Heroic,Gaimin Gladiators,Силы света
12463,2023-01-04,Heroic,BetBoom Team,BetBoom Team,Силы тьмы
12464,2023-05-11,Parivision,Tundra Esports,Parivision,Силы света
12465,2022-01-06,BetBoom Team,Heroic,BetBoom Team,Силы света
12466,2020-11-04,Team Liquid,Heroic,Team Liquid,Силы света
12467,2021-12-22,Heroic,Xtreme Gaming,Heroic,Силы света
12468,2021-12-31,Gaimin Gladiators,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12469,2023-11-30,Parivision,Team Liquid,Parivision,Силы света
12470,2022-02-23,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
12471,2023-02-26,Shopify Rebellion,Parivision,Shopify Rebellion,Силы света
12472,2022-01-09,Heroic,BetBoom Team,Heroic,Силы света
12473,2022-02-22,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
12474,2023-10-19,Tundra Esports,BetBoom Team,Tundra Esports,Силы света
12475,2020-05-28,Shopify Rebellion,Tundra Esports,Tundra Esports,Силы тьмы
12476,2023-11-02,BetBoom Team,Heroic,BetBoom Team,Силы света
12477,2020-03-16,Azure Ray,Parivision,Azure Ray,Силы света
12478,2020-05-23,Heroic,Team Liquid,Team Liquid,Силы тьмы
12479,2020-03-25,Team Spirit,Tundra Esports,Team Spirit,Силы света
12480,2021-12-19,Shopify Rebellion,Team Spirit,Team Spirit,Силы тьмы
12481,2023-08-31,Xtreme Gaming,Shopify Rebellion,Xtreme Gaming,Силы света
12482,2023-07-26,Xtreme Gaming,Heroic,Xtreme Gaming,Силы света
12483,2022-03-30,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
12484,2021-04-26,Azure Ray,Tundra Esports,Tundra Esports,Силы тьмы
12485,2020-11-19,Azure Ray,Tundra Esports,Azure Ray,Силы света
12486,2021-07-11,Xtreme Gaming,Team Spirit,Xtreme Gaming,Силы света
12487,2020-11-10,Parivision,Heroic,Parivision,Силы света
12488,2023-08-18,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
12489,2020-04-07,Parivision,Team Liquid,Parivision,Силы света
12490,2020-08-14,BetBoom Team,Team Spirit,Team Spirit,Силы тьмы
12491,2020-10-19,Azure Ray,BetBoom Team,Azure Ray,Силы света
12492,2023-10-14,Heroic,BetBoom Team,Heroic,Силы света
12493,2021-06-16,BetBoom Team,Team Spirit,BetBoom Team,Силы света
12494,2021-03-14,Tundra Esports,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12495,2021-11-27,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
12496,2021-03-14,Azure Ray,Gaimin Gladiators,Azure Ray,Силы света
12497,2020-07-30,Tundra Esports,BetBoom Team,BetBoom Team,Силы тьмы
12498,2022-12-06,Team Liquid,Gaimin Gladiators,Team Liquid,Силы света
12499,2020-06-28,Heroic,Team Spirit,Heroic,Силы света
12500,2023-11-16,Gaimin Gladiators,Team Liquid,Gaimin Gladiators,Силы света
12501,2023-05-09,Heroic,Parivision,Parivision,Силы тьмы
12502,2021-07-04,BetBoom Team,Team Liquid,BetBoom Team,Силы света
12503,2020-03-22,Heroic,Team Spirit,Heroic,Силы света
12504,2022-07-09,Heroic,Gaimin Gladiators,Heroic,Силы света
12505,2021-05-26,Team Liquid,Xtreme Gaming,Team Liquid,Силы света
12506,2020-04-04,Shopify Rebellion,Team Spirit,Shopify Rebellion,Силы света
12507,2022-08-29,Tundra Esports,Azure Ray,Tundra Esports,Силы света
12508,2023-08-07,Team Spirit,Xtreme Gaming,Xtreme Gaming,Силы тьмы
12509,2020-03-01,Xtreme Gaming,BetBoom Team,Xtreme Gaming,Силы света
12510,2021-04-02,Heroic,Team Liquid,Team Liquid,Силы тьмы
12511,2022-10-10,Team Liquid,BetBoom Team,BetBoom Team,Силы тьмы
12512,2022-08-16,Heroic,Parivision,Heroic,Силы света
12513,2020-02-12,BetBoom Team,Heroic,BetBoom Team,Силы света
12514,2023-04-24,Xtreme Gaming,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12515,2020-11-13,Parivision,BetBoom Team,Parivision,Силы света
12516,2020-01-31,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12517,2023-06-28,Tundra Esports,Team Liquid,Tundra Esports,Силы света
12518,2020-05-13,Parivision,Heroic,Heroic,Силы тьмы
12519,2022-09-24,Xtreme Gaming,Team Liquid,Xtreme Gaming,Силы света
12520,2020-12-12,Xtreme Gaming,Azure Ray,Xtreme Gaming,Силы света
12521,2023-10-06,Heroic,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
12522,2020-08-30,Parivision,Shopify Rebellion,Parivision,Силы света
12523,2022-05-08,Shopify Rebellion,Team Liquid,Team Liquid,Силы тьмы
12524,2023-08-03,Azure Ray,Team Spirit,Team Spirit,Силы тьмы
12525,2023-07-14,BetBoom Team,Gaimin Gladiators,BetBoom Team,Силы света
12526,2023-11-29,BetBoom Team,Gaimin Gladiators,Gaimin Gladiators,Силы тьмы
